Country,AHS MaxRate (%)
Aruba,3000
Afghanistan,274.5
Angola,754.3
Anguila,294.84
Albania,206.03
Andorra,1412.4
United Arab Emirates,880.05
Argentina,1619.7
Armenia,2373.84
American Samoa,630
Antarctica,653.79
Fr. So. Ant. Tr,50
Antigua and Barbuda,48
Australia,285.84
Austria,3000
Azerbaijan,3000
Br. Antr. Terr,180
Burundi,15
Belgium,99.25
Benin,1685.2
Bonaire,274.5
Burkina Faso,112.71
Bangladesh,754.3
Bulgaria,754.3
Bahrain,1684.22
"Bahamas, The",754.3
Bosnia and Herzegovina,274.5
Saint Barthélemy,792.63
Belarus,274.5
Belize,800.3
Bermuda,265
Bolivia,274.5
Brazil,800.3
Barbados,3000
Brunei,440.84
Bhutan,653.79
Bunkers,754.3
Bouvet Island,57.6
Botswana,160.4
Central African Republic,653.79
Canada,180
Cocos (Keeling) Islands,1412.4
Switzerland,274.5
Chile,1246.03
China,875.37
Cote d'Ivoire,2593.7
Cameroon,1412.4
"Congo, Rep.",1412.4
Cook Islands,653.79
Colombia,50
Comoros,1412.4
Cape Verde,274.5
Costa Rica,361.85
Cuba,1412.4
Curaçao,2373.84
Christmas Island,274.5
Cayman Islands,48
Cyprus,780.88
Czech Republic,1412.4
Germany,1560.58
Djibouti,3000
Dominica,100
Denmark,754.3
Dominican Republic,2452.59
Algeria,1412.4
Ecuador,1412.4
"Egypt, Arab Rep.",1412.4
Eritrea,1412.4
Western Sahara,60
Spain,25
Estonia,3000
Ethiopia(excludes Eritrea),984.74
Finland,754.3
Fiji,984.74
Falkland Island,2605.51
France,40
Free Zones,3000
Faeroe Islands,155
"Micronesia, Fed. Sts.",168.78
Gabon,880.05
United Kingdom,754.3
Georgia,2541.48
Ghana,754.3
Gibraltar,1412.4
Guinea,92.08
"Gambia, The",754.3
Guinea-Bissau,243
Equatorial Guinea,50
Greece,50
Grenada,1412.4
Greenland,474.84
Guatemala,274.5
Guam,630
Guyana,880.05
"Hong Kong, China",754.3
Heard Island and McDonald Isla,1627.9
Honduras,34.08
Croatia,2160.68
Haiti,1412.4
Hungary,653.79
Indonesia,1560.58
India,3000
British Indian Ocean Ter.,1685.2
Ireland,50
"Iran, Islamic Rep.",833.25
Iraq,1187.3
Iceland,274.5
Israel,1560.58
Italy,1412.4
Jamaica,3000
Jordan,2373.84
Japan,1412.4
Kazakhstan,1412.4
Kenya,754.3
Kyrgyz Republic,2203
Cambodia,754.3
Kiribati,603.4
St. Kitts and Nevis,35
"Korea, Rep.",875.37
Kuwait,1506.75
Lao PDR,754.3
Lebanon,603.4
Liberia,577.11
Libya,754.3
St. Lucia,265
Sri Lanka,474.84
Lesotho,1412.4
Lithuania,131.99
Luxembourg,1560.58
Latvia,513
Macao,1685.2
Morocco,754.3
Moldova,1412.4
Madagascar,380.26
Maldives,754.3
Mexico,274.5
Marshall Islands,1412.4
North Macedonia,653.79
Mali,817.51
Malta,110.72
Myanmar,282.8
Mongolia,1319.22
Northern Mariana Islands,754.3
Montenegro,754.3
Mozambique,1319.22
Mauritania,1246.03
Montserrat,156
Mauritius,70
Malawi,754.3
Malaysia,1246.03
Namibia,842.89
New Caledonia,1684.22
Niger,414.38
Norfolk Island,630
Nigeria,35
Nicaragua,1412.4
Niue,1412.4
Netherlands,45
Norway,3000
Nepal,1560.58
Nauru,800.3
New Zealand,274.5
"Other Asia, nes",3000
Oman,1412.4
Pakistan,754.3
Panama,1412.4
Pitcairn,611.5
Peru,294.12
Philippines,1685.2
Palau,1412.4
Papua New Guinea,29.8
Poland,754.3
"Korea, Dem. Rep.",1685.2
Portugal,82.5
Paraguay,1685.2
Occ.Pal.Terr,754.3
French Polynesia,150
Qatar,754.3
Romania,754.3
Russian Federation,1560.58
Rwanda,1246.03
Saudi Arabia,754.3
Senegal,754.3
"Serbia, FR(Serbia/Montenegro)",754.3
Singapore,817.51
South Georgia and the South Sa,1319.22
Saint Helena,50
Solomon Islands,274.5
Sierra Leone,513
El Salvador,377.3
San Marino,341.73
Somalia,754.3
Special Categories,274.5
Saint Pierre and Miquelon,221.19
South Sudan,22
Sao Tome and Principe,145.11
Sudan,50
Suriname,1228.46
Slovak Republic,630
Slovenia,984.74
Sweden,1049.42
Eswatini,1560.58
Saint Maarten (Dutch part),754.3
Seychelles,154.54
Syrian Arab Republic,479.76
Turks and Caicos Isl.,513
Chad,294.12
Togo,102.6
Thailand,630
Tajikistan,1412.4
Tokelau,300.62
Turkmenistan,68.6
East Timor,359.76
Tonga,754.3
Trinidad and Tobago,244.81
Tunisia,414.38
Turkey,754.3
Tuvalu,1685.2
Tanzania,30
Uganda,887.4
Ukraine,754.3
United States Minor Outlying I,1246.03
Unspecified,274.5
Uruguay,754.3
United States,945.17
Uzbekistan,3000
Holy See,754.3
St. Vincent and the Grenadines,68.32
Venezuela,274.5
British Virgin Islands,426.77
Vietnam,149.68
Vanuatu,2203
 World,754.3
Wallis and Futura Isl.,3000
Samoa,30
Yemen,330.82
South Africa,754.3
"Congo, Dem. Rep.",2160.68
Zambia,375.26
Zimbabwe,653.79
East Asia & Pacific,1412.4
Europe & Central Asia,3000
Latin America & Caribbean,3000
Middle East & North Africa,3000
North America,1619.7
South Asia,3000
Sub-Saharan Africa,1685.2
,2203