Country,Year,World Growth (%),Country Growth (%),Export (US$ Thousand)
Gibraltar,2019,,,14272137.7
Guinea,2019,,,5521103.55
"Gambia, The",2019,2.94,2.94,1667081.93
Guinea-Bissau,2019,,,493470.48
Equatorial Guinea,2019,,,1497484.77
Greece,2019,-2.29,-2.29,59247267.67
Grenada,2019,-3.46,-3.46,433393.31
Greenland,2019,,,1926296.26
Guatemala,2019,0.58,0.58,18753887.46
Guam,2019,,,1140344.69
Guyana,2019,29.5,29.5,2222251.11
"Hong Kong, China",2019,-3.96,-3.96,638854934.5
Heard Island and McDonald Isla,2019,,,429.83
Honduras,2019,-1.45,-1.45,12518780.95
Croatia,2019,-0.19,-0.19,29135612.61
Haiti,2019,,,4436429.93
Hungary,2019,-0.02,-0.02,112638817.6
Indonesia,2019,-4.73,-4.73,173708752.8
India,2019,-11.97,-11.97,412938399.6
British Indian Ocean Ter.,2019,,,80324.9
Ireland,2019,-3.15,-3.15,79189338.5
"Iran, Islamic Rep.",2019,,,41276470.18
Iraq,2019,,,55920525.8
Iceland,2019,-7.48,-7.48,9246712.86
Israel,2019,0,0,96920323.01
Italy,2019,-2.88,-2.88,462233086
Jamaica,2019,1.76,1.76,5871759.45
Jordan,2019,-2.43,-2.43,24090821.77
Japan,2019,-1.85,-1.85,654804747.4
Kazakhstan,2019,9.12,9.12,50860585.27
Kenya,2019,-0.48,-0.48,20463750.43
Kyrgyz Republic,2019,-2.91,-2.91,11654261.48
Cambodia,2019,7.68,7.68,29227312.37
Kiribati,2019,,,108465.26
St. Kitts and Nevis,2019,,,407484.4
"Korea, Rep.",2019,-3.03,-3.03,484505254.2
Kuwait,2019,-3.31,-3.31,40016930.97
Lao PDR,2019,-0.43,-0.43,6823449.29
Lebanon,2019,-1.88,-1.88,23592172.26
Liberia,2019,,,13220871.24
Libya,2019,7.82,7.82,20701874.15
St. Lucia,2019,-3.72,-3.72,4181197.24
Sri Lanka,2019,,,19715568.76
Lesotho,2019,-1.09,-1.09,1552744.94
Lithuania,2019,-1.02,-1.02,31223873.77
Luxembourg,2019,-0.97,-0.97,26635646.15
Latvia,2019,-2.3,-2.3,23097637.09
Macao,2019,3.7,3.7,13932436.01
Morocco,2019,-0.24,-0.24,71067611.05
Moldova,2019,0.68,0.68,9415222.69
Madagascar,2019,-1.37,-1.37,4259408.09
Maldives,2019,-1.26,-1.26,2607083.17
Mexico,2019,-0.98,-0.98,455179179.9
Marshall Islands,2019,,,13165281.71
North Macedonia,2019,2.15,2.15,15393570.64
Mali,2019,4.54,4.54,5457986.66
Malta,2019,6.76,6.76,18457620.42
Myanmar,2019,-1.94,-1.94,27595532.25
Mongolia,2019,2.13,2.13,6256325.24
Northern Mariana Islands,2019,,,178054.15
Montenegro,2019,-1.58,-1.58,4449827.56
Mozambique,2019,6.1,6.1,13159658.14
Mauritania,2019,5.16,5.16,4161358.62
Montserrat,2019,-4.35,-4.35,24285.63
Mauritius,2019,-0.6,-0.6,6459317.04
Malawi,2019,3.76,3.76,1707839.66
Malaysia,2019,-3.02,-3.02,226490387
Namibia,2019,-1.23,-1.23,5681779.02
New Caledonia,2019,,,3866690.04
Niger,2019,2.32,2.32,1977829.17
Norfolk Island,2019,,,28481.64
Nigeria,2019,4.94,4.94,61429466.92
Nicaragua,2019,-2.52,-2.52,5976460.19
Niue,2019,,,36802.8
Netherlands,2019,-0.6,-0.6,591671365.5
Norway,2019,-0.74,-0.74,143613579.5
Nepal,2019,-2.09,-2.09,10425535.5
Nauru,2019,,,95198.46
New Zealand,2019,-1.63,-1.63,43354922.42
"Other Asia, nes",2019,,,285064697.5
Oman,2019,-4.49,-4.49,35966319.13
Pakistan,2019,-8.78,-8.78,53475362.99
Panama,2019,-3.3,-3.3,44417347.24
Pitcairn,2019,,,7753.23
Peru,2019,-0.89,-0.89,43071681.92
Philippines,2019,0.96,0.96,136053277.2
Palau,2019,,,112375.82
Papua New Guinea,2019,,,4437560.13
Poland,2019,-4.01,-4.01,268253899.6
"Korea, Dem. Rep.",2019,,,2695075.77
Portugal,2019,-3.24,-3.24,84039094.6
Paraguay,2019,-4.4,-4.4,10334363.1
Occ.Pal.Terr,2019,0.56,0.56,1292901.82
French Polynesia,2019,-3.27,-3.27,2756236.77
Qatar,2019,-4.05,-4.05,47558213.83
Romania,2019,-0.63,-0.63,91781875.44
Russian Federation,2019,1.43,1.43,329275366
Rwanda,2019,6.2,6.2,1719356.59
Saudi Arabia,2019,3.32,3.32,170247585.5
Senegal,2019,0.44,0.44,15150295.4
"Serbia, FR",2019,1.62,1.62,43674875.12
Singapore,2019,-1.57,-1.57,337952557.6
South Georgia and the South Sa,2019,,,1594.63
Saint Helena,2019,,,58966.98
Solomon Islands,2019,,,448130.44
Sierra Leone,2019,,,1403831.22
El Salvador,2019,0.6,0.6,10954760.91
San Marino,2019,,,596871.94
Somalia,2019,,,4288274.8
Special Categories,2019,,,51986350.92
Saint Pierre and Miquelon,2019,,,86235.43
South Sudan,2019,,,1097918.92
Sao Tome and Principe,2019,-0.22,-0.22,182150.19
Sudan,2019,,,8750827.98
Suriname,2019,5.87,5.87,1929402.5
Slovak Republic,2019,-1.12,-1.12,79001290.63
Slovenia,2019,2.58,2.58,42685085.52
Sweden,2019,-3.37,-3.37,143745071.8
Eswatini,2019,-0.68,-0.68,1740232.08
Saint Maarten (Dutch part),2019,,,1112020.46
Seychelles,2019,-9.24,-9.24,1223469.2
Syrian Arab Republic,2019,,,7084561.16
Turks and Caicos Isl.,2019,,,456507.04
Chad,2019,,,1241306.33
Togo,2019,1.75,1.75,12788407.73
Thailand,2019,-6.72,-6.72,219755478
Tajikistan,2019,2.91,2.91,4228316.67
Tokelau,2019,,,15032.72
Turkmenistan,2019,,,3719934.87
East Timor,2019,,,553097.92
Tonga,2019,,,217474.49
Trinidad and Tobago,2019,-9.37,-9.37,6842284.84
Tunisia,2019,-2.5,-2.5,31653290.39
Turkey,2019,-4.61,-4.61,267293920.9
Tuvalu,2019,,,90349.44
Tanzania,2019,2.89,2.89,14376653.24
Uganda,2019,6.94,6.94,4634362.29
Ukraine,2019,3.11,3.11,83203968.96
United States Minor Outlying I,2019,,,63028.51
Unspecified,2019,,,678448861.3
Uruguay,2019,-3.71,-3.71,12720127.23
United States,2019,-0.84,-0.84,2873983750
Uzbekistan,2019,12.38,12.38,22703685.1
Holy See,2019,,,53574.58
St. Vincent and the Grenadines,2019,-2.64,-2.64,427844.57
Venezuela,2019,,,7048352.32
British Virgin Islands,2019,,,2718804.39
Vietnam,2019,3.44,3.44,286270839.3
Vanuatu,2019,,,326978.3
 World,2019,-1.73,-1.73,20644644752
Wallis and Futura Isl.,2019,,,67630.33
Samoa,2019,3.76,3.76,457261.21
Yemen,2019,19.38,19.38,11247362.97
South Africa,2019,-2.51,-2.51,117834378.8
"Congo, Dem. Rep.",2019,5.49,5.49,9001100.04
Zambia,2019,-13.08,-13.08,6508529.91
Zimbabwe,2019,-13.85,-13.85,3486459.31
East Asia & Pacific,2019,,,5486397551
Europe & Central Asia,2019,,,7387309218
Latin America & Caribbean,2019,,,1156819143
Middle East & North Africa,2019,,,1126006812
North America,2019,,,3373113639
South Asia,2019,,,569328902.1
Sub-Saharan Africa,2019,,,438082372.1
Aruba,2018,2.52,2.52,1504487.11
Afghanistan,2018,-2.51,-2.51,11370582.68
Angola,2018,1.75,1.75,14149495.52
Anguila,2018,,,165590.46
Albania,2018,6.06,6.06,9330615.06
Andorra,2018,4.34,4.34,3097035.85
Netherlands Antilles,2018,,,0
United Arab Emirates,2018,-2.56,-2.56,256961660.4
Argentina,2018,-1.1,-1.1,69843755.27
Armenia,2018,11.14,11.14,4728880.81
American Samoa,2018,,,156804.09
Antarctica,2018,,,21956.24
Fr. So. Ant. Tr,2018,,,42289.53
Antigua and Barbuda,2018,-4.94,-4.94,1410943.56
Australia,2018,1.56,1.56,253256026
Austria,2018,5.19,5.19,176265800
Azerbaijan,2018,14.33,14.33,13520535.84
Br. Antr. Terr,2018,,,0
Burundi,2018,0.65,0.65,516307.77
Belgium,2018,5.43,5.43,393542898.2
Benin,2018,2.07,2.07,6556799.75
Bonaire,2018,,,746692.45
Burkina Faso,2018,5.59,5.59,3940540.83
Bangladesh,2018,,,61954198.42
Bulgaria,2018,5.21,5.21,37404933.13
Bahrain,2018,8.83,8.83,18444270.81
"Bahamas, The",2018,0.67,0.67,11432291.48
Bosnia and Herzegovina,2018,5.37,5.37,16551785.06
Saint Barth√©lemy,2018,,,248338.29
Belarus,2018,5.92,5.92,42116393.04
Belize,2018,2.41,2.41,1096458.85
Bermuda,2018,-0.38,-0.38,1863578.61
Bolivia,2018,3.32,3.32,8049646.42
Brazil,2018,7.83,7.83,216747136.6
Barbados,2018,0.01,0.01,1670575.77
Brunei,2018,16.19,16.19,5290251.13
Bhutan,2018,,,824423.72
Bunkers,2018,,,66281173.1
Bouvet Island,2018,,,16327.26
Botswana,2018,8.91,8.91,6782353.5
Central African Republic,2018,-4.19,-4.19,485122.94
Canada,2018,3.06,3.06,500609467.1
Cocos (Keeling) Islands,2018,,,7827.69
Switzerland,2018,2.07,2.07,458460734.5
Chile,2018,7,7,81668511.67
China,2018,7.57,7.57,1987292151
Cote d'Ivoire,2018,6.82,6.82,13671185.77
Cameroon,2018,-23.09,-23.09,7835378.78
"Congo, Rep.",2018,-12.57,-12.57,3411558.3
Cook Islands,2018,,,168893.7
Colombia,2018,5.47,5.47,56437821.17
Comoros,2018,4.8,4.8,446579.96
Cape Verde,2018,1.31,1.31,1392262.99
Costa Rica,2018,0.64,0.64,16400369
Cuba,2018,,,9058020.85
Cura√ßao,2018,,,2688980.01
Christmas Island,2018,,,31337.26
Cayman Islands,2018,,,8342151.61
Cyprus,2018,7.78,7.78,14102591.93
Czech Republic,2018,6.55,6.55,168208164.7
Germany,2018,7.45,7.45,1182722788
Djibouti,2018,,,5976970.07
Dominica,2018,,,461027.4
Denmark,2018,5.07,5.07,102879752.7
Dominican Republic,2018,2,2,21249922.42
Algeria,2018,,,71172560.55
Ecuador,2018,8.07,8.07,24483349.47
"Egypt, Arab Rep.",2018,11.12,11.12,96045812.83
Eritrea,2018,,,491893.62
Western Sahara,2018,,,16510.14
Spain,2018,7.02,7.02,355364959.9
Estonia,2018,6.83,6.83,20763563.34
Ethiopia(excludes Eritrea),2018,-2.48,-2.48,12151708.74
Finland,2018,5.72,5.72,75153175.7
Fiji,2018,6.5,6.5,2552783.71
Falkland Island,2018,,,255266.66
France,2018,3.7,3.7,639892863.7
Free Zones,2018,,,2732509.93
Faeroe Islands,2018,,,2044189.45
"Micronesia, Fed. Sts.",2018,,,133005.22
Gabon,2018,,,3569780.92
United Kingdom,2018,2.37,2.37,646679634.6
Georgia,2018,7.79,7.79,11706465.11
Ghana,2018,-3.35,-3.35,17756579.8
Gibraltar,2018,,,16726872.44
Guinea,2018,,,5593400.6
"Gambia, The",2018,0.6,0.6,1488683.54
Guinea-Bissau,2018,,,510575.41
Equatorial Guinea,2018,,,1501826.13
Greece,2018,8.53,8.53,56680216.25
Grenada,2018,12.68,12.68,417931.04
Greenland,2018,4.43,4.43,1534444.38
Guatemala,2018,3.39,3.39,18252675.73
Guam,2018,,,1160878.5
Guyana,2018,16.73,16.73,1902050.76
"Hong Kong, China",2018,3.17,3.17,711151007.5
Heard Island and McDonald Isla,2018,,,734.17
Honduras,2018,4.63,4.63,12599906.52
Croatia,2018,7.09,7.09,28184733.47
Haiti,2018,,,4979886.08
Hungary,2018,6.09,6.09,113575963.6
Indonesia,2018,9.64,9.64,186547509.4
India,2018,17.97,17.97,441845299.4
British Indian Ocean Ter.,2018,,,51428.82
Ireland,2018,7.68,7.68,88470758.9
"Iran, Islamic Rep.",2018,-10.62,-10.62,62829548.53
Iraq,2018,,,58912640.26
Iceland,2018,5.01,5.01,10655223.16
Israel,2018,5.26,5.26,97823645.25
Italy,2018,5.37,5.37,487046381.6
Jamaica,2018,2.98,2.98,6306627.35
Jordan,2018,-0.24,-0.24,23420038.07
Japan,2018,5.55,5.55,668775926.9
Kazakhstan,2018,6.14,6.14,45557432.27
Kenya,2018,2.04,2.04,20677691.22
Kyrgyz Republic,2018,8.6,8.6,10606991.07
Cambodia,2018,10.65,10.65,28829437.62
Kiribati,2018,-2.46,-2.46,108812.98
St. Kitts and Nevis,2018,,,418767.04
"Korea, Rep.",2018,5.76,5.76,510250237.7
Kuwait,2018,3.32,3.32,41046172.02
Lao PDR,2018,6.46,6.46,7158441.07
Lebanon,2018,-62.28,-62.28,28438901.6
Liberia,2018,,,10692683.66
Libya,2018,20.66,20.66,18775638.11
St. Lucia,2018,0.69,0.69,4311988.93
Sri Lanka,2018,,,22010227.71
Lesotho,2018,-11.31,-11.31,1537135.03
Lithuania,2018,8.55,8.55,32790554.71
Luxembourg,2018,4.79,4.79,26280894.54
Latvia,2018,7.68,7.68,23812538.34
Macao,2018,8.6,8.6,13539187.79
Morocco,2018,6.72,6.72,70482829.02
Moldova,2018,9.23,9.23,9244453.67
Madagascar,2018,4.63,4.63,4000484.87
Maldives,2018,12.02,12.02,2252741.88
Mexico,2018,5.09,5.09,468979660.5
Marshall Islands,2018,,,16246992.64
North Macedonia,2018,8.21,8.21,14696080.79
Mali,2018,3.21,3.21,5168290.88
Malta,2018,2.72,2.72,19026155.11
Myanmar,2018,0.26,0.26,26246879.44
Mongolia,2018,16.38,16.38,5759213.44
Northern Mariana Islands,2018,,,179052.81
Montenegro,2018,7.25,7.25,4564836.6
Mozambique,2018,9.09,9.09,10757679.9
Mauritania,2018,-4.94,-4.94,3944521.1
Montserrat,2018,8.65,8.65,36108.96
Mauritius,2018,3.72,3.72,6197066.07
Malawi,2018,2.62,2.62,1709159.53
Malaysia,2018,5.81,5.81,231483184.6
Namibia,2018,10.58,10.58,6042891.23
New Caledonia,2018,,,3562404.24
Niger,2018,22.55,22.55,1656183.2
Norfolk Island,2018,,,26066.15
Nigeria,2018,17.28,17.28,55178091.3
Nicaragua,2018,-2.32,-2.32,6137309.49
Niue,2018,,,31745.67
Netherlands,2018,6.21,6.21,617362296.5
Norway,2018,1.11,1.11,145126948.6
Nepal,2018,13.18,13.18,10702211.89
Nauru,2018,,,125283.97
New Zealand,2018,4.34,4.34,44324751.93
"Other Asia, nes",2018,,,316982778.4
Oman,2018,-1.26,-1.26,39308422.05
Pakistan,2018,2.34,2.34,60320726.78
Panama,2018,2.38,2.38,44350293.51
Pitcairn,2018,,,4989.49
Peru,2018,4.16,4.16,43672595.72
Philippines,2018,6.26,6.26,137351788.3
Palau,2018,-1.08,-1.08,114086.92
Papua New Guinea,2018,,,4623893.11
Poland,2018,10.82,10.82,270339699.5
"Korea, Dem. Rep.",2018,,,2333022.72
Portugal,2018,10.2,10.2,83039293.41
Paraguay,2018,5.97,5.97,11751236.35
Occ.Pal.Terr,2018,5.7,5.7,1272820.27
French Polynesia,2018,16.6,16.6,2447077.92
Qatar,2018,2.97,2.97,43664024.54
Romania,2018,7.11,7.11,93107657.61
Russian Federation,2018,-3.87,-3.87,324434963.8
Rwanda,2018,2.34,2.34,2290562.62
Saudi Arabia,2018,0.26,0.26,160934760.9
Senegal,2018,9.52,9.52,15028089.56
"Serbia, FR(Serbia/Montenegro)",2018,8.11,8.11,42931787.57
Singapore,2018,6.33,6.33,350767605.1
South Georgia and the South Sa,2018,,,356.66
Saint Helena,2018,,,65384.14
Solomon Islands,2018,2.56,2.56,463991.41
Sierra Leone,2018,-4.12,-4.12,1297292.4
El Salvador,2018,4.14,4.14,10750922.92
San Marino,2018,,,602793.65
Somalia,2018,,,3653288.29
Special Categories,2018,,,58436687.32
Saint Pierre and Miquelon,2018,,,85055.11
South Sudan,2018,,,932871.27
Sao Tome and Principe,2018,0.43,0.43,220271.37
Sudan,2018,1,1,8667994.13
Suriname,2018,12.39,12.39,1766116.46
Slovak Republic,2018,6.57,6.57,79923989.58
Slovenia,2018,7.9,7.9,42160807.57
Sweden,2018,5.17,5.17,153961575.2
Eswatini,2018,7.35,7.35,1786992.34
Saint Maarten (Dutch part),2018,,,1091633.92
Seychelles,2018,-28.9,-28.9,1409837.09
Syrian Arab Republic,2018,,,7970491.35
Turks and Caicos Isl.,2018,,,506433.48
Chad,2018,,,1126110.46
Togo,2018,2.74,2.74,15144592.23
Thailand,2018,6.06,6.06,231250511.4
Tajikistan,2018,6.42,6.42,3941948.55
Tokelau,2018,,,34777.58
Turkmenistan,2018,,,3392701.85
East Timor,2018,,,484255.73
Tonga,2018,,,213763.98
Trinidad and Tobago,2018,5.77,5.77,6555862.86
Tunisia,2018,4.92,4.92,34777234.29
Turkey,2018,-1.6,-1.6,291638739.9
Tuvalu,2018,,,88115.23
Tanzania,2018,4.95,4.95,13725438.37
Uganda,2018,9.66,9.66,4471339.48
Ukraine,2018,7.55,7.55,82202023.16
United States Minor Outlying I,2018,,,28709.27
Unspecified,2018,,,709254451.6
Uruguay,2018,2.54,2.54,13683197.81
United States,2018,4.2,4.2,2865908705
Uzbekistan,2018,19.94,19.94,19939107.25
Holy See,2018,,,108909.97
St. Vincent and the Grenadines,2018,3.53,3.53,399921.72
Venezuela,2018,,,12510063.37
British Virgin Islands,2018,,,2246913.12
Vietnam,2018,5.4,5.4,273234684.3
Vanuatu,2018,,,331182.28
 World,2018,4.83,4.83,21264863471
Wallis and Futura Isl.,2018,,,57222.72
Samoa,2018,0.94,0.94,408499.52
Yemen,2018,,,9252693.03
South Africa,2018,5.59,5.59,128327603.6
"Congo, Dem. Rep.",2018,16.9,16.9,8680727.12
Zambia,2018,8.93,8.93,7262063.02
Zimbabwe,2018,14.01,14.01,4199984.19
East Asia & Pacific,2018,,,5708117418
Europe & Central Asia,2018,,,7582345597
Latin America & Caribbean,2018,,,1201201550
Middle East & North Africa,2018,,,1165264469
North America,2018,,,3368381750
South Asia,2018,,,611280412.5
Sub-Saharan Africa,2018,,,439370976.3
Aruba,2017,3.42,3.42,1997817.06
Afghanistan,2017,9.21,9.21,11394896.86
Angola,2017,3.81,3.81,16698082.31
Anguila,2017,,,129371.63
Albania,2017,6.36,6.36,8180930.43
Andorra,2017,4.49,4.49,2869394.2
United Arab Emirates,2017,-2.44,-2.44,272353612
Argentina,2017,9.39,9.39,72692871.81
Armenia,2017,9.99,9.99,4135797.31
American Samoa,2017,,,151354.62
Antarctica,2017,,,49457.31
Fr. So. Ant. Tr,2017,,,44284.03
Antigua and Barbuda,2017,13.31,13.31,1330166.05
Australia,2017,9.82,9.82,243575836.3
Austria,2017,5.35,5.35,158705715.7
Azerbaijan,2017,1.73,1.73,10366937.46
Br. Antr. Terr,2017,,,0
Burundi,2017,11.92,11.92,562827.17
Belgium,2017,5.1,5.1,361153255.8
Benin,2017,11.98,11.98,6679746.16
Bonaire,2017,,,473650.28
Burkina Faso,2017,8.61,8.61,3867552.77
Bangladesh,2017,,,54040943.44
Bulgaria,2017,8.78,8.78,33515829.26
Bahrain,2017,8.59,8.59,13919445.57
"Bahamas, The",2017,8.93,8.93,10865975.34
Bosnia and Herzegovina,2017,7.04,7.04,15091538.01
Saint Barth,2017,,,159225.69
Belarus,2017,11.35,11.35,37494666.36
Belize,2017,-2.09,-2.09,1144832.82
Bermuda,2017,5.35,5.35,2346795.56
Bolivia,2017,4.59,4.59,8451758.74
Brazil,2017,6.86,6.86,198040347.6
Barbados,2017,-0.67,-0.67,1674218.06
Brunei,2017,7.31,7.31,3046020.25
Bhutan,2017,,,572200.92
Bunkers,2017,,,46192163.79
Bouvet Island,2017,,,3087.76
Botswana,2017,-6.46,-6.46,6273710.55
Central African Republic,2017,2.15,2.15,443520.25
Canada,2017,3.75,3.75,462716912
Cocos (Keeling) Islands,2017,,,10157.23
Switzerland,2017,-0.33,-0.33,428510229.8
Chile,2017,4.84,4.84,71306102.5
China,2017,7.76,7.76,1787239787
Cote d'Ivoire,2017,5.84,5.84,12622692.21
Cameroon,2017,45.48,45.48,7116940.63
"Congo, Rep.",2017,-36.39,-36.39,8238879.87
Cook Islands,2017,,,171019.57
Colombia,2017,1.35,1.35,51341341.99
Comoros,2017,3.22,3.22,445449.48
Cape Verde,2017,8.66,8.66,1309239.96
Costa Rica,2017,3.31,3.31,15465422.95
Cuba,2017,,,9170581.08
Cura√ßao,2017,,,2011687.13
Christmas Island,2017,,,31929.33
Cayman Islands,2017,,,7647994.07
Cyprus,2017,8.73,8.73,11902177.11
Czech Republic,2017,6.98,6.98,144443869.7
Germany,2017,2.73,2.73,1063050624
Djibouti,2017,,,5172865.61
Dominica,2017,,,387064.8
Denmark,2017,4.46,4.46,91348944.2
Dominican Republic,2017,0.71,0.71,18440265.63
Algeria,2017,-1.11,-1.11,66724843.54
Ecuador,2017,10.72,10.72,20868837.37
"Egypt, Arab Rep.",2017,-2.8,-2.8,88451473.39
Eritrea,2017,,,477266.87
Western Sahara,2017,,,80122.37
Spain,2017,6.16,6.16,321041353.2
Estonia,2017,5.25,5.25,19004415.78
Ethiopia(excludes Eritrea),2017,-4.97,-4.97,12532941.82
Finland,2017,7.64,7.64,67065307.95
Fiji,2017,2.24,2.24,2154938.87
Falkland Island,2017,,,230880.21
France,2017,4.58,4.58,586856959.9
Free Zones,2017,,,3176680.56
Faeroe Islands,2017,,,1803479.4
"Micronesia, Fed. Sts.",2017,,,211768.13
Gabon,2017,,,3408042.57
United Kingdom,2017,0.36,0.36,621148210.6
Georgia,2017,4.76,4.76,10466663.42
Ghana,2017,5.8,5.8,17987369.47
Gibraltar,2017,,,15159170.06
Guinea,2017,,,5298490.08
"Gambia, The",2017,12.13,12.13,1481284.95
Guinea-Bissau,2017,,,530895.12
Equatorial Guinea,2017,,,1264454.69
Greece,2017,7.79,7.79,48343781.85
Grenada,2017,2.79,2.79,360862.72
Greenland,2017,1.81,1.81,1406240.06
Guatemala,2017,4.04,4.04,17581825.82
Guam,2017,,,1224579.39
Guyana,2017,4.12,4.12,1608227.46
"Hong Kong, China",2017,3.78,3.78,669955436.7
Heard Island and McDonald Isla,2017,,,464062.26
Honduras,2017,4.33,4.33,11439514.84
Croatia,2017,5.97,5.97,24061806.94
Haiti,2017,,,4753560.82
Hungary,2017,6.35,6.35,100072348.4
Indonesia,2017,7.58,7.58,163135669.2
India,2017,11.57,11.57,402560777
British Indian Ocean Ter.,2017,,,88438.33
Ireland,2017,6.74,6.74,75004489.65
"Iran, Islamic Rep.",2017,9.94,9.94,78949367.98
Iraq,2017,,,54919305.47
Iceland,2017,10.56,10.56,10581327.51
Israel,2017,2.49,2.49,92127520.63
Italy,2017,5.61,5.61,438070450.3
Jamaica,2017,10.48,10.48,5644836.93
Jordan,2017,3.08,3.08,23365731.61
Japan,2017,5.22,5.22,612176156
Kazakhstan,2017,8.43,8.43,43177329.91
Kenya,2017,8.75,8.75,19919936.57
Kyrgyz Republic,2017,8.04,8.04,9433418.17
Cambodia,2017,7.45,7.45,21919436.54
Kiribati,2017,-4.78,-4.78,130366.35
St. Kitts and Nevis,2017,-3.79,-3.79,503176.89
"Korea, Rep.",2017,8.53,8.53,475735384.7
Kuwait,2017,4.47,4.47,38320077.66
Lao PDR,2017,12.08,12.08,6788491.29
Lebanon,2017,174,174,27554660.73
Liberia,2017,,,9214214.99
Libya,2017,-5.89,-5.89,13419312.8
St. Lucia,2017,-0.36,-0.36,4630287.36
Sri Lanka,2017,4.55,4.55,21021931.23
Lesotho,2017,17.93,17.93,1569560.64
Lithuania,2017,6.35,6.35,28063365.97
Luxembourg,2017,4.93,4.93,22687628.55
Latvia,2017,8.1,8.1,22019012.62
Macao,2017,3.07,3.07,11643506.83
Morocco,2017,3.93,3.93,64608268.76
Moldova,2017,9.62,9.62,7816338.37
Madagascar,2017,11.29,11.29,4111309.61
Maldives,2017,5.3,5.3,2483498.93
Mexico,2017,4.21,4.21,427782227
Marshall Islands,2017,,,17427480
North Macedonia,2017,6.96,6.96,12629210.61
Mali,2017,6.19,6.19,4926205.19
Malta,2017,-2.5,-2.5,16242381.33
Myanmar,2017,10.76,10.76,23884140.37
Mongolia,2017,13.96,13.96,4809094.03
Northern Mariana Islands,2017,,,171030.03
Montenegro,2017,6.94,6.94,3816198.61
Mozambique,2017,3.77,3.77,9241505.25
Mauritania,2017,27.29,27.29,3756650.09
Montserrat,2017,-8.49,-8.49,24958.98
Mauritius,2017,6.4,6.4,5940020.84
Malawi,2017,6.39,6.39,1744207.06
Malaysia,2017,7.54,7.54,212452951.1
Namibia,2017,0.42,0.42,5931806.15
New Caledonia,2017,,,3285579.69
Niger,2017,-2.76,-2.76,1602997.47
Norfolk Island,2017,,,71564.21
Nigeria,2017,-5.74,-5.74,47986875.24
Nicaragua,2017,1.51,1.51,6833146.46
Niue,2017,,,25487.82
Netherlands,2017,6.39,6.39,538310543.3
Norway,2017,8.38,8.38,133352180.8
Nepal,2017,6.33,6.33,8540130
Nauru,2017,,,47998.55
New Zealand,2017,5.51,5.51,40187331.25
"Other Asia, nes",2017,,,292451174.3
Oman,2017,6.87,6.87,36758448.03
Pakistan,2017,10.55,10.55,59968864.24
Panama,2017,2.34,2.34,40575112.16
Pitcairn,2017,,,6815.51
Peru,2017,4.88,4.88,40621440.76
