Country,Year,AHS Weighted Average (%),Country Growth (%)
Palau,2017,6.35,1.39
Papua New Guinea,2017,2.58,
Poland,2017,9.07,7.53
"Korea, Dem. Rep.",2017,6.79,
Portugal,2017,6.77,7.65
Paraguay,2017,29.51,10.35
Occ.Pal.Terr,2017,1.47,4.47
French Polynesia,2017,3.2,4.45
Qatar,2017,1.18,-3.43
Romania,2017,6.08,6.94
Russian Federation,2017,1.8,11.95
Rwanda,2017,5.26,2.97
Saudi Arabia,2017,1.27,-2.04
Senegal,2017,0.96,10.83
"Serbia, FR(Serbia/Montenegro)",2017,11.66,7.31
Singapore,2017,2.66,5.96
South Georgia and the South Sa,2017,0.51,
Saint Helena,2017,0.95,
Solomon Islands,2017,2.6,12.24
Sierra Leone,2017,1.1,5.87
El Salvador,2017,5.94,3.73
San Marino,2017,2.42,
Somalia,2017,0.37,
Special Categories,2017,0.29,
Saint Pierre and Miquelon,2017,2.56,
South Sudan,2017,0.65,
Sao Tome and Principe,2017,1.31,2.72
Sudan,2017,3.48,0.01
Suriname,2017,0.35,1.43
Slovak Republic,2017,6.42,4.52
Slovenia,2017,4.19,8.03
Sweden,2017,4.8,4.6
Eswatini,2017,2.79,2.42
Saint Maarten (Dutch part),2017,5.79,
Seychelles,2017,1.23,50.08
Syrian Arab Republic,2017,6.63,
Turks and Caicos Isl.,2017,3.63,
Chad,2017,1.76,
Togo,2017,0.57,-2.83
Thailand,2017,6.32,6.8
Tajikistan,2017,3.24,-4.34
Tokelau,2017,7.39,
Turkmenistan,2017,2.47,
East Timor,2017,0.18,
Tonga,2017,4.01,
Trinidad and Tobago,2017,1.21,-7.42
Tunisia,2017,3.64,2.86
Turkey,2017,5.24,8.66
Tuvalu,2017,1.54,
Tanzania,2017,5.46,-0.71
Uganda,2017,15.23,7.64
Ukraine,2017,8.59,12.23
United States Minor Outlying I,2017,3.17,
Unspecified,2017,5.77,
Uruguay,2017,17.05,1.96
United States,2017,5.21,3.46
Uzbekistan,2017,1.7,
Holy See,2017,7.2,
St. Vincent ,2017,7.81,-0.72
Venezuela,2017,0.85,
British Virgin Islands,2017,0.86,
Vietnam,2017,5.89,10.39
Vanuatu,2017,6.46,
 World,2017,4.05,5.56
Wallis and Futura Isl.,2017,0.53,
Samoa,2017,10.87,0.9
Yemen,2017,0.15,
South Africa,2017,3.12,5.15
"Congo, Dem. Rep.",2017,0.86,2.8
Zambia,2017,0.94,4.78
Zimbabwe,2017,4.67,-3.56
East Asia & Pacific,2017,4.28,
Europe & Central Asia,2017,4.31,
Latin America & Caribbean,2017,5.45,
Middle East & North Africa,2017,1.78,
North America,2017,5.2,
South Asia,2017,5.82,
Sub-Saharan Africa,2017,2.15,
Aruba,2016,3.64,-2.08
Afghanistan,2016,2.53,-8.02
Angola,2016,0.68,-18.4
Anguila,2016,3.62,
Albania,2016,3.05,3.96
Andorra,2016,1.18,2.31
United Arab Emirates,2016,3.08,-2.87
Argentina,2016,10.28,-3.63
Armenia,2016,1.26,-0.59
American Samoa,2016,6.3,
Antarctica,2016,4.49,
Fr. So. Ant. Tr,2016,0.45,
Antigua and Barbuda,2016,2.12,2.69
Australia,2016,5.49,-2.71
Austria,2016,4.85,0.69
Azerbaijan,2016,0.19,-4.11
Burundi,2016,0.71,5.62
Belgium,2016,4.66,3.49
Benin,2016,0.81,0.26
Bonaire,2016,1.84,
Burkina Faso,2016,0.64,4.36
Bangladesh,2016,6.7,
Bulgaria,2016,5.19,-0.53
Bahrain,2016,3.79,-5.14
"Bahamas, The",2016,1.43,-3.71
Bosnia and Herzegovina,2016,2.29,0.82
Saint Barth,2016,0.29,
Belarus,2016,4.46,-4.53
Belize,2016,17.97,-2.19
Bermuda,2016,0.11,2.26
Bolivia,2016,2.51,-6.72
Brazil,2016,11.75,-10.28
Barbados,2016,3.47,0.11
Brunei,2016,0.78,-8.92
Bhutan,2016,0.69,
Bunkers,2016,10.88,
Bouvet Island,2016,4.41,
Botswana,2016,1,-12.92
Central African Republic,2016,1.33,-6.25
Canada,2016,5.86,-2.06
Cocos (Keeling) Islands,2016,2.56,
Switzerland,2016,2.99,3.54
Chile,2016,2.66,-2.46
China,2016,6.11,-2.77
Cote d'Ivoire,2016,1.77,-9.19
Cameroon,2016,1.24,-9.92
"Congo, Rep.",2016,0.77,3.36
Cook Islands,2016,3.57,
Colombia,2016,4.12,-8.91
Comoros,2016,1.87,6.38
Cape Verde,2016,0.99,5.54
Costa Rica,2016,5.3,-0.59
Cuba,2016,12.1,
Cura√ßao,2016,1.34,
Christmas Island,2016,0.39,
Cayman Islands,2016,0.1,
Cyprus,2016,6.54,5.02
Czech Republic,2016,5.17,0.57
Germany,2016,6.11,0.16
Djibouti,2016,1.64,
Dominica,2016,1.34,
Denmark,2016,8.13,-0.53
Dominican Republic,2016,4.65,1.59
Algeria,2016,0.4,-4.66
Ecuador,2016,6.56,-13
"Egypt, Arab Rep.",2016,2.94,-2.27
Eritrea,2016,0.3,
Western Sahara,2016,2.96,
Spain,2016,7.24,-0.29
Estonia,2016,3.93,-0.16
Ethiopia(excludes Eritrea),2016,6.13,-0.67
Finland,2016,4.09,0.27
Fiji,2016,6.69,0.75
Falkland Island,2016,1.67,
France,2016,7.3,-0.25
Free Zones,2016,6.96,
Faeroe Islands,2016,3.42,
"Micronesia, Fed. Sts.",2016,6.08,
Gabon,2016,1.26,
United Kingdom,2016,6.16,0.48
Georgia,2016,1.58,0.26
Ghana,2016,1.56,-12.05
Gibraltar,2016,2.48,
Guinea,2016,1.8,27.25
"Gambia, The",2016,1.2,-3.26
Guinea-Bissau,2016,13.58,
Equatorial Guinea,2016,0.91,
Greece,2016,5.28,0.35
Grenada,2016,1.13,4.56
Greenland,2016,1.56,4.89
Guatemala,2016,7.25,-1.88
Guam,2016,7.61,
Guyana,2016,5.18,4.63
"Hong Kong, China",2016,4.24,-1.09
Heard Island and McDonald Isla,2016,18.95,
Honduras,2016,9.21,-2.84
Croatia,2016,4.42,2.99
Haiti,2016,7.02,
Hungary,2016,6.76,0.8
Indonesia,2016,4.86,-2.5
India,2016,5.73,-4.46
British Indian Ocean Ter.,2016,0.71,
Ireland,2016,4.87,2.82
"Iran, Islamic Rep.",2016,2.42,3.27
Iraq,2016,0.59,
Iceland,2016,1.72,3.88
Israel,2016,2.41,2.96
Italy,2016,6.76,-0.52
Jamaica,2016,7.8,-2.29
Jordan,2016,3.25,-3.15
Japan,2016,5.48,-1.5
Kazakhstan,2016,0.95,-9.25
Kenya,2016,9.11,-6.25
Kyrgyz Republic,2016,1.33,-2.79
Cambodia,2016,5.75,7.68
Kiribati,2016,5.41,3.66
St. Kitts and Nevis,2016,1.13,6
"Korea, Rep.",2016,3.08,-3.53
Kuwait,2016,1.39,-0.28
Lao PDR,2016,2.85,4.26
Lebanon,2016,3.12,0.28
Liberia,2016,0.93,
Libya,2016,0.6,
St. Lucia,2016,0.75,7.04
Sri Lanka,2016,8.75,1.4
Lesotho,2016,1.28,2.65
Lithuania,2016,7.45,-1.4
Luxembourg,2016,4.71,-0.45
Latvia,2016,6.07,-1.28
Macao,2016,5.29,-8.25
Morocco,2016,4.35,4.55
Moldova,2016,3.57,0.42
Madagascar,2016,2.76,0
Maldives,2016,12.59,5.92
Mexico,2016,4.95,-1.04
Marshall Islands,2016,0.88,
North Macedonia,2016,1.62,2.54
Mali,2016,1.29,
Malta,2016,3.27,2.86
Myanmar,2016,4.53,-3.67
Mongolia,2016,0.87,-6.21
Northern Mariana Islands,2016,2.44,
Montenegro,2016,1,5.51
Mozambique,2016,3.98,-18.17
Mauritania,2016,2.41,-23.39
Montserrat,2016,0.67,10.2
Mauritius,2016,3.6,2.18
Malawi,2016,11.59,-0.35
Malaysia,2016,3.14,-2.24
Namibia,2016,1.57,-6.56
New Caledonia,2016,1.09,
Niger,2016,0.28,-12.94
Norfolk Island,2016,4.54,
Nigeria,2016,0.9,2
Nicaragua,2016,7.11,12.89
Niue,2016,4.19,
Netherlands,2016,7.2,-0.56
Norway,2016,1.57,-2.38
Nepal,2016,2.24,15.88
Nauru,2016,1.25,
New Zealand,2016,18.96,-0.67
"Other Asia, nes",2016,2.94,
Oman,2016,1.73,-10.67
Pakistan,2016,7.52,3.36
Panama,2016,4.82,-3.57
Pitcairn,2016,0.29,
Peru,2016,2.7,-2.5
Philippines,2016,2.04,10.66
Palau,2016,7.37,1.06
Papua New Guinea,2016,2.02,
Poland,2016,6.76,-0.31
"Korea, Dem. Rep.",2016,6.12,
Portugal,2016,7.53,0.78
Paraguay,2016,32.36,-2.66
Occ.Pal.Terr,2016,2.06,1.31
French Polynesia,2016,2.63,0
Qatar,2016,1.61,-0.85
Romania,2016,6.34,3.34
Russian Federation,2016,1.88,6.53
Rwanda,2016,1.38,3.66
Saudi Arabia,2016,1.8,-10.45
Senegal,2016,1.74,-1.06
"Serbia, FR(Serbia/Montenegro)",2016,7.4,2.76
Singapore,2016,3.04,-2.67
South Georgia,2016,0.09,
Saint Helena,2016,0.71,
Solomon Islands,2016,1.58,-1.29
Sierra Leone,2016,0.68,-26.21
El Salvador,2016,7.08,-2.3
San Marino,2016,2.34,
Somalia,2016,0.88,
Special Categories,2016,0.1,
Saint Pierre and Miquelon,2016,0.75,
South Sudan,2016,0.04,
Sao Tome and Principe,2016,5.68,-0.88
Sudan,2016,9.14,10.51
Suriname,2016,0.48,-21.46
Slovak Republic,2016,7.48,1.25
Slovenia,2016,5.04,1.57
Sweden,2016,5.25,0.98
Eswatini,2016,14.56,0.93
Saint Maarten (Dutch part),2016,1.06,
Seychelles,2016,1.51,25.28
Syrian Arab Republic,2016,3.64,
Turks and Caicos Isl.,2016,5.05,
Chad,2016,1.13,
Togo,2016,1.91,-3.93
Thailand,2016,7.19,-2.11
Tajikistan,2016,3.33,
Tokelau,2016,4.87,
Turkmenistan,2016,1.71,
East Timor,2016,0.68,
Tonga,2016,3.45,
Trinidad and Tobago,2016,1.3,-6.66
Tunisia,2016,4.28,-1.83
Turkey,2016,4.9,-2.71
Tuvalu,2016,0.68,
Tanzania,2016,3.96,-26.82
Uganda,2016,9.11,-6.53
Ukraine,2016,5.55,2.28
United States Minor Outlying I,2016,3.4,
Unspecified,2016,3.31,
Uruguay,2016,26.2,-7.4
United States,2016,5.79,-1.44
Uzbekistan,2016,1.44,
Holy See,2016,1.92,
St. Vincent,2016,9.59,0.16
Venezuela,2016,0.82,
British Virgin Islands,2016,1.92,
Vietnam,2016,5.9,2.74
Vanuatu,2016,4.03,
 World,2016,4.26,-1.38
Wallis and Futura Isl.,2016,2.1,
Samoa,2016,8.26,-2.84
Yemen,2016,0.84,
South Africa,2016,3.11,-6.25
"Congo, Dem. Rep.",2016,1.3,-17.5
Zambia,2016,1.11,-4.15
Zimbabwe,2016,5.24,-6.11
East Asia & Pacific,2016,4.74,
Europe & Central Asia,2016,4.32,
Latin America & Caribbean,2016,6.47,
Middle East & North Africa,2016,2.05,
North America,2016,5.78,
South Asia,2016,5.72,
Sub-Saharan Africa,2016,1.76,
Aruba,2015,2.26,-4.75
Afghanistan,2015,3.35,0.17
Angola,2015,0.06,-13.43
Anguila,2015,2.83,
Albania,2015,3.84,-9.11
Andorra,2015,1.62,-8.82
United Arab Emirates,2015,3.19,-1.96
Argentina,2015,9.79,-4.3
Armenia,2015,1.51,-11.51
American Samoa,2015,4.15,
Antarctica,2015,2.24,
Fr. So. Ant. Tr,2015,0.26,
Antigua and Barbuda,2015,1.61,-8.18
Australia,2015,5.22,-6.22
Austria,2015,4.67,-7.38
Azerbaijan,2015,0.12,0.19
Br. Antr. Terr,2015,,
Burundi,2015,1.08,-8.7
Belgium,2015,4.68,-11.27
Benin,2015,0.96,-17.08
Bonaire,2015,0.26,
Burkina Faso,2015,1.08,-7.49
Bangladesh,2015,7.86,
Bulgaria,2015,8.05,-8.22
Bahrain,2015,3.75,-9.64
"Bahamas, The",2015,1.43,-8.67
Bosnia and Herzegovina,2015,3.5,-9.54
Saint Barth,2015,0.17,
Belarus,2015,3.08,-13.52
Belize,2015,3.77,1.72
Bermuda,2015,0.39,-1.69
Bolivia,2015,1.67,-3.97
Brazil,2015,11.25,-13.43
Barbados,2015,2.64,-3.59
Brunei,2015,0.09,-5.28
Bhutan,2015,1.81,
Bunkers,2015,4.74,
Bouvet Island,2015,0.32,
Botswana,2015,0.88,-6.22
Central African Republic,2015,1.06,21.75
Canada,2015,5.52,-4.84
Cocos (Keeling) Islands,2015,1.48,
Switzerland,2015,3.32,-4.49
Chile,2015,2.61,-7.51
China,2015,6.15,-7.41
Cote d'Ivoire,2015,2.06,-3.26
Cameroon,2015,1.68,-10.65
"Congo, Rep.",2015,0.94,2.21
Cook Islands,2015,3.16,
Colombia,2015,2.67,-8.13
Comoros,2015,1.33,-5.1
Cape Verde,2015,0.86,-11.33
Costa Rica,2015,4.13,-5.02
Cuba,2015,9.82,
Cura√ßao,2015,1.52,
Christmas Island,2015,0.93,
Cayman Islands,2015,0.41,
Cyprus,2015,5.74,-5.91
Czech Republic,2015,4.55,-4.17
Germany,2015,6.06,-6.7
Djibouti,2015,1.87,
Dominica,2015,2.97,
Denmark,2015,6.76,-7.43
Dominican Republic,2015,4.38,-1.27
Algeria,2015,0.54,-5.99
Ecuador,2015,5.7,-11.84
"Egypt, Arab Rep.",2015,2.99,1.85
Eritrea,2015,0.48,
Western Sahara,2015,3.74,
Spain,2015,6.47,-7.06
Estonia,2015,4.03,-11.72
Ethiopia(excludes Eritrea),2015,6.79,2.83
Finland,2015,3.6,-11.47
Fiji,2015,5.81,-16.47
Falkland Island,2015,1.62,
France,2015,6.95,-7.6
Free Zones,2015,6.06,
Faeroe Islands,2015,2.82,
"Micronesia, Fed. Sts.",2015,3.94,
Gabon,2015,1.32,
United Kingdom,2015,5.35,-4.73
Georgia,2015,1.29,-7.85
Ghana,2015,0.98,-6.46
Gibraltar,2015,3.26,
Guinea,2015,1.02,-7.68
"Gambia, The",2015,1.09,0.92
Guinea-Bissau,2015,2.52,
Equatorial Guinea,2015,0.76,
Greece,2015,3.95,-12.82
Grenada,2015,1.97,4.38
Greenland,2015,1.66,-12.14
Guatemala,2015,8.58,-1.73
Guam,2015,8.4,
Guyana,2015,2.13,-8.77
"Hong Kong, China",2015,4.7,-3.5
Heard Island and McDonald Isla,2015,5.27,
Honduras,2015,5.91,2.46
Croatia,2015,4,-5.21
Haiti,2015,8,
Hungary,2015,6.38,-6.66
Indonesia,2015,5.29,-10.51
India,2015,6.65,-7.77
British Indian,2015,0.16,
Ireland,2015,5.05,-2.94
"Iran, Islamic Rep.",2015,2.85,-12.46
Iraq,2015,0.45,
Iceland,2015,1.28,-0.81
Israel,2015,2.41,-7.37
Italy,2015,6.55,-6.9
Jamaica,2015,2.08,-7.5
Jordan,2015,3.05,-5.11
Japan,2015,5.86,-12.24
Kazakhstan,2015,0.74,-13.96
Kenya,2015,10.05,
Kyrgyz Republic,2015,0.95,-15.38
Cambodia,2015,6.27,4.86
Kiribati,2015,5.73,-2.5
St. Kitts and Nevis,2015,0.98,5.29
"Korea, Rep.",2015,3.55,-8.87
Kuwait,2015,1.42,-0.85
Lao PDR,2015,1.32,-7.88
Lebanon,2015,3.16,-4.72
Liberia,2015,0.77,
Libya,2015,0.53,
St. Lucia,2015,3.27,-4.68
Sri Lanka,2015,10.14,-0.72
Lesotho,2015,1.44,-0.5
Lithuania,2015,8.83,-10.55
Luxembourg,2015,3.77,-10.05
Latvia,2015,8.51,-9.28
Macao,2015,4.2,-3.17
Morocco,2015,4.54,-9.13
Moldova,2015,3.46,-13.41
Madagascar,2015,2.74,-5.36
Maldives,2015,1.97,-2.44
Mexico,2015,4.71,-0.59
Marshall Islands,2015,0.78,
North Macedonia,2015,2.07,-6.18
Mali,2015,0.3,
Malta,2015,2.16,-10.35
Myanmar,2015,2.19,2.08
Mongolia,2015,0.88,-13.98
Northern Mariana Islands,2015,1.98,
Montenegro,2015,0.43,-6.93
Mozambique,2015,1.03,-4.9
Mauritania,2015,1.6,0.84
Montserrat,2015,1.82,-15.89
Mauritius,2015,3.99,-10.83
Malawi,2015,5.7,-9.2
Malaysia,2015,3.18,-8.15
Namibia,2015,1.67,-5.01
New Caledonia,2015,0.71,-12.65
Niger,2015,13.61,6.9
Norfolk Island,2015,2.94,
Nigeria,2015,0.7,-14.73
Nicaragua,2015,6.66,1.04
Niue,2015,2.29,
Netherlands,2015,6.96,-9.89
Norway,2015,1.05,-7.58
Nepal,2015,5.32,-6.66
Nauru,2015,2.2,
New Zealand,2015,19.8,-7.3
"Other Asia, nes",2015,3.29,
Oman,2015,1.73,-0.51
Pakistan,2015,7.58,-3.81
Panama,2015,4.72,-4.69
Pitcairn,2015,0.75,
Peru,2015,2.25,-5.05
Philippines,2015,1.99,1.78
Palau,2015,1.09,-4.55
Papua New Guinea,2015,1.69,
Poland,2015,6.28,-6.44
"Korea, Dem. Rep.",2015,6.65,
Portugal,2015,7.61,-7.62
Paraguay,2015,22.83,-8.04
Occ.Pal.Terr,2015,1.41,-4.11
French Polynesia,2015,3.79,-6.91
Qatar,2015,1.2,3.49
Romania,2015,6.33,-5.3
Russian Federation,2015,1.69,-20.15
Rwanda,2015,5.04,3.94
Saudi Arabia,2015,1.6,1.93
Senegal,2015,5.49,-7.24
"Serbia, FR(Serbia/Montenegro)",2015,7.6,-6
Singapore,2015,2.99,-9.71
South Georgia and the South Sa,2015,3.99,
Saint Helena,2015,1.08,
Solomon Islands,2015,0.56,-3.41
Sierra Leone,2015,0.32,-7.51
El Salvador,2015,7.56,-1.06
San Marino,2015,2.56,
Somalia,2015,0.37,
Special Cate.,2015,0.12,
Saint Pierre and Miquelon,2015,0.59,
South Sudan,2015,4.71,
Sao Tome and Principe,2015,1.43,-8.58
Sudan,2015,5.82,-6.92
Suriname,2015,0.7,2.11
Slovak Republic,2015,6.52,-5.1
Slovenia,2015,4.48,-7.21
Sweden,2015,4.79,-7.78
Eswatini,2015,2.99,-6.63
Saint Maarten (Dutch part),2015,0.84,
Seychelles,2015,0.9,-40.69
Syrian Arab Republic,2015,2.93,
Turks and Caicos Isl.,2015,2.98,
Chad,2015,0.12,
Togo,2015,4.14,-3.92
Thailand,2015,7.21,-5.71
Tajikistan,2015,3.12,
Tokelau,2015,6.09,
Turkmenistan,2015,0.3,
East Timor,2015,2.26,
Tonga,2015,2.98,
Trinidad and Tobago,2015,1.61,-9.36
Tunisia,2015,3.67,-9.69
Turkey,2015,4.76,-7.77
Tuvalu,2015,1.4,
Tanzania,2015,3.43,7.65
Uganda,2015,9.63,-4.6
Ukraine,2015,5.37,-16.94
United States Minor Outlying I,2015,1.92,
Unspecified,2015,5.42,
Uruguay,2015,26.99,-6.1
United States,2015,5.75,-2.04
Uzbekistan,2015,1.43,
Holy See,2015,0.76,
St. Vincent and the Grenadines,2015,1.35,-3.93
Venezuela,2015,1.3,
British Virgin Islands,2015,1.19,
Vietnam,2015,6.05,5.89
Vanuatu,2015,4.74,
 World,2015,4.22,-6.3
Wallis and Futura Isl.,2015,2.51,
Samoa,2015,4.1,-2.27
Yemen,2015,0.22,-26.12
South Africa,2015,3.12,-7.43
"Congo, Dem. Rep.",2015,0.88,
Zambia,2015,0.79,-10.61
Zimbabwe,2015,4.35,-0.14
East Asia & Pacific,2015,4.81,
Europe & Central Asia,2015,3.92,
Latin America & Caribbean,2015,6.22,
Middle East & North Africa,2015,1.94,
North America,2015,5.73,
South Asia,2015,6.55,
Sub-Saharan Africa,2015,1.73,